MODEL,TENSOR_PARALLEL_SIZE,MAX_MODEL_LEN,TOTAL_GPU_MEM,UNAVAILABLE_MEM_ABS,MODEL_MEM_FROM_CONFIG,MODEL_DTYPE,QUANT_DTYPE,MODEL_MEM,PROFILER_MEM_OVERHEAD,APPROX_MEM_PER_GRAPH_MB,GPU_FREE_MEM_TARGET,BLOCK_SIZE,VLLM_PROMPT_BS_BUCKET_MIN,VLLM_PROMPT_BS_BUCKET_STEP,VLLM_DECODE_BS_BUCKET_MIN,VLLM_DECODE_BS_BUCKET_STEP,VLLM_PROMPT_QUERY_BUCKET_MIN,VLLM_PROMPT_QUERY_BUCKET_STEP,VLLM_PROMPT_CTX_BUCKET_STEP,VLLM_DECODE_BLOCK_BUCKET_MIN,VLLM_DECODE_BLOCK_BUCKET_STEP,VLLM_PROMPT_BS_BUCKET_MAX,NUM_HIDDEN_LAYERS,HIDDEN_SIZE,NUM_KEY_VALUE_HEADS,NUM_ATTENTION_HEADS,HEAD_DIM,CACHE_DTYPE_BYTES,LIMIT_MODEL_LEN,PT_HPU_LAZY_MODE,VLLM_SKIP_WARMUP,VLLM_EXPONENTIAL_BUCKETING,MAX_NUM_BATCHED_TOKENS,ENABLE_PREFIX_CACHING,VLLM_CONTIGUOUS_PA,VLLM_DEFRAG,ASYNC_SCHEDULING,VLLM_WEIGHT_LOAD_FORCE_SYNC
meta-llama/Llama-3.1-8B-Instruct,1,4352,128,2,16060522496,2,2,14.95752716,0,10,9,128,1,32,1,32,128,256,4,128,256,1,32,4096,8,32,,2,131072,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,0
meta-llama/Llama-3.1-70B-Instruct,4,4352,512,2,1.41107E+11,2,2,131.4165192,0,20,5,128,1,32,1,32,128,256,4,128,256,1,80,8192,8,64,,2,131072,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,0
meta-llama/Llama-3.3-70B-Instruct,4,4352,512,2,1.41107E+11,2,2,131.4165192,0,20,5,128,1,32,1,32,128,256,4,128,256,1,80,8192,8,64,,2,131072,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,0
meta-llama/Llama-3.2-1B-Instruct,1,4352,128,2,2471645608,2,2,2.301899351,0,5,3,128,1,32,1,32,128,256,4,128,256,1,16,2048,8,32,,2,131072,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,0
meta-llama/Llama-3.2-3B-Instruct,1,4352,128,2,6425499648,2,2,5.984212875,0,10,5,128,1,32,1,32,128,256,4,128,256,1,28,3072,8,24,,2,131072,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,0
mistralai/Mixtral-8x7B-Instruct-v0.1,2,4352,256,2,93405585408,2,2,86.99073029,0,10,5,128,1,32,1,32,128,256,4,128,256,1,32,4096,8,32,,2,32768,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,0
mistralai/Mixtral-8x22B-Instruct-v0.1,4,4352,512,2,2.8126E+11,2,2,261.9439201,0,12,8,128,1,32,1,32,128,256,4,128,256,1,56,6144,8,48,,2,65536,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,1
mistralai/Mistral-7B-Instruct-v0.2,1,4352,128,2,14483464192,2,2,13.48877716,0,10,9,128,1,32,1,32,128,256,4,128,256,1,32,4096,8,32,,2,32768,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,0
meta-llama/Llama-3.1-405B-Instruct,8,4352,1024,2,8.11707E+11,2,2,755.9608459,0,20,5,128,1,32,1,32,128,256,4,128,256,1,126,16384,8,128,,2,131072,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,1
Qwen/Qwen2.5-14B-Instruct,1,4352,128,2,29540067328,2,2,27.51133156,0,10,12,128,1,32,1,32,128,256,4,128,256,1,48,5120,8,40,,2,32768,0,FALSE,FALSE,2048,FALSE,TRUE,TRUE,1,0
